Point,POINT_X,POINT_Y
AbdRoyWit.01,-79.57359,38.52844
AbdRoyWit.02,-79.57666,38.53007
AbdRoyWit.03,-79.57455,38.53122
AbdRoyWit.04,-79.57594,38.53341
AbdRoyWit.05,-79.57457,38.53539
AbdRoyWit.06,-79.57329,38.53721
AbdRoyWit.07,-79.57016,38.53738
AbdRoyWit.08,-79.56874,38.54014
AbdRoyWit.09,-79.56614,38.54115
AbdRoyWit.10,-79.56882,38.54242
Apgar,-79.74742,38.25817
Banks1.01,-79.61263,38.31023
Banks2.01,-79.60035,38.32389
Banks3.01,-79.60671,38.32072
Bird1.01,-79.7373,38.27711
Bird2.01,-79.72818,38.27609
Bird2.02,-79.73057,38.27526
Bird3.01,-79.72733,38.27082
Bird3.02,-79.72954,38.26875
Bird3.03,-79.72916,38.2667
Bird3.04,-79.73196,38.26621
Brocke1,-79.74463972,38.26104942
Brocke2,-79.74197,38.26275
Brocke3,-79.74426,38.26395
CFJ.01,-79.64585,38.2508
CFJ.02,-79.64084,38.24971
CFJ.03,-79.64331,38.24482
CFJ.04,-79.64347,38.24092
CFJ.05,-79.64227,38.24279
CFJ.06,-79.63963,38.24305
CFJ.07,-79.63684,38.2421
CFJ.08,-79.63548,38.24459
CFJ.09,-79.63801,38.24504
CFJ.10,-79.63617,38.24666
ChapmanBandy1,-79.58612969,38.47870822
ChapmanBandy2,-79.58345,38.47741
ChapmanBandy3,-79.58040138,38.47767988
Chestnut1,-79.70125,38.33899
Chestnut2,-79.70415,38.33732
Conrad1,-79.669,38.41596
Conrad2,-79.6675,38.41791
Cragnolin,-79.61191,38.42736
Crooks1,-79.51966,38.29274
Crooks2,-79.52051,38.29031
Crummett1,-79.67897,38.36504
Crummett2,-79.68221,38.36574
Crummett3,-79.68013,38.36788
Crummett4,-79.67737,38.36802
Crummett5,-79.67619,38.36591
Eager.01,-79.65712,38.2321
Eager.02,-79.65437,38.23447
Eager.03,-79.6542,38.23679
Eager.04,-79.65006206,38.23301193
Eager.05,-79.64850563,38.23425104
Eager.06,-79.647141,38.23572
Eager.07,-79.6452,38.234781
Eager.08,-79.645192,38.232837
Eager.09,-79.645105,38.230863
Eager.10,-79.646164,38.229021
Eager.11,-79.648054,38.226937
East1,-79.51598,38.44252
East2,-79.51962,38.44412
Elliot.01,-79.61288,38.4216
Elliot.02,-79.61006,38.42209
Frautschi1.1,-79.63746,38.40431
Frautschi1.2,-79.63904,38.40614
Frautschi2.1,-79.64292,38.41235
Frautschi3.1,-79.63937,38.41002
Freeman,-79.6516,38.45171
Gary.01,-79.61436,38.4988
Gary.02,-79.61232,38.49763
Gary.03,-79.61426,38.49636
Himot1,-79.60217,38.48167
Himot2,-79.60258,38.4836
Hull1,-79.63049,38.446
Hull2,-79.63416111,38.44804
Hull3,-79.63331944,38.45068
Hull4,-79.63316,38.45259
Hull5,-79.62565,38.44879
Hull.09,-79.62659,38.445
Hunter.01,-79.62274,38.29013
Hunter.02,-79.62495,38.29212
Hunter.03,-79.62498,38.28869
Karnes,-79.58341,38.47412
Kiser.01,-79.55485,38.49196
Kiser.02,-79.5543,38.49423
Lewis1,-79.60239,38.40637
Lewis2,-79.60048,38.40798
LittleEgypt1,-79.75633,38.24327
LittleEgypt2,-79.75417,38.24484
LittleEgypt3,-79.75275,38.24652
LittleEgypt4,-79.74862,38.24667
LittleEgypt5,-79.75084,38.24871
LittleEgypt6,-79.74925,38.2509
Lovelady1.1,-79.6616,38.35965
Lovelady1.2,-79.66355,38.36196
Lovelady2.1,-79.66611,38.36406
Lovelady2.2,-79.66718,38.36185
Lovelady3.1,-79.67026,38.35965
Lyons.01,-79.62698,38.31528
Lyons.02,-79.62726,38.31181
Lyons.03,-79.63017,38.31237
MacKenzie.01,-79.62876,38.42818
MacKenzie.02,-79.62552,38.42896
MacKenzie.03,-79.62481,38.43153
Mei1,-79.60362,38.37479
Mei2,-79.60167,38.37638
Moats,-79.54755,38.45531
Mullenax1.01,-79.54469,38.50327
Mullenax1.02,-79.54235,38.50406
Mullenax1.03,-79.54404,38.50631
Mullenax2.01,-79.53859,38.50869
Mustoe1,-79.53582,38.42432
Mustoe2,-79.53512,38.42161
Newlon.01,-79.61664,38.44238
Newlon.02,-79.61614,38.43961
ObryanColaw.01,-79.5256,38.53258
ObryanColaw.02,-79.52256,38.53353
ObryanColaw.03,-79.51969,38.5335
ObryanColaw.04,-79.51871,38.5307
Rexrode1,-79.59975,38.49089
Rexrode2,-79.59776,38.49258
Ricketts.01,-79.70677,38.33228
Ricketts.02,-79.70748,38.32992
Ricketts.03,-79.70947,38.32774
Rickets.04,-79.70904,38.32503
Robertson1.01,-79.64136,38.2658
Robertson1.02,-79.63935083,38.26318109
Robertson1.03,-79.63846,38.26089
Robertson1.04,-79.63897,38.25852
Robertson1.05,-79.64084,38.2598
Robertson1.06,-79.63668,38.26268
Robertson2.01,-79.6301,38.25981
Robertson2.02,-79.6273,38.25956
Robertson2.03,-79.62476,38.25943
Sedge.01,-79.66917,38.21738
Sedge.02,-79.66428,38.2203
Sedge.03,-79.67102,38.21893
Simmons.01,-79.56345,38.49166
Simpson.01,-79.63316,38.31646
Simpson.02,-79.63592,38.31509
Simpson.03,-79.63882,38.31537
Simpson.04,-79.64388,38.31383
Simpson.05,-79.64341,38.31589
Simpson.06,-79.63862,38.31768
Smith1.01,-79.71494,38.2943
Smith1.02,-79.71274,38.29417
Smith1.03,-79.70951,38.29302
Smith1.04,-79.7075,38.29198
Smith1.05,-79.71178,38.29167
Smith1.06,-79.71723,38.29405
Smith2.01,-79.7206,38.27635
Smith2.02,-79.71794,38.2766
Smith2.03,-79.71741,38.27779
Smith2.04,-79.71439,38.27944
Smith2.05,-79.71518,38.27689
Smith3.01,-79.7234,38.28112
Smith3.02,-79.72356,38.28328
Smith3.03,-79.72025,38.28173
Smith3.04,-79.71684,38.28162
Smith3.05,-79.71368,38.28259
Smith3.06,-79.71934,38.28477
Sullenberger1.1,-79.62214,38.27664
Sullenberger1.2,-79.61686,38.27487
Sullenberger1.3,-79.61566,38.27277
Sullenberger1.4,-79.61759,38.27087
Sullenberger1.5,-79.62016,38.27201
Sullenberger1.6,-79.62193,38.27383
Sullenberger1.7,-79.61807,38.27964
Sullenberger1.8,-79.61835,38.28238
Sullenberger1.9,-79.6156,38.28081
Sullenbereger1.10,-79.61201,38.27897
Sullenberger1.11,-79.61591,38.27683
Sullenberger1.12,-79.61875,38.27692
Taplinger1,-79.67307,38.30492
Terry1,-79.62912,38.27657
Terry2,-79.62796,38.27854
Webb.01,-79.62401,38.34203
Webb.02,-79.62085,38.34248
